word	freq
exclusive	1
currently	1
repeatedly	1
sources	1
vessels	1
Nicobar	1
issues	2
impact	1
We	2
one	1
zone	2
also	2
territorial	3
continue	1
June	1
friendly	2
limbo	1
meant	1
victims	1
gains	1
government	1
possible	2
coast	1
While	1
comprised	1
projects	1
areas	1
increasing	1
Shinzo	1
regularly	1
Make	1
India	14
capability	1
serious	1
ban	1
become	1
security	2
PM	1
related	1
waters	1
art	1
leaders	1
deal	2
seas	1
contiguous	2
impetus	1
vessel	1
see	1
economic	2
export	1
pricing	3
year	3
navy	1
East	1
encouraged	1
happens	2
large	1
said	5
factors	1
though	1
expressed	1
future	1
China	5
aggression	1
cooperation	4
progress	1
speak	1
collaboration	1
exercise	1
told	1
cost	1
assertive	1
Shinmaywa	1
agreement	5
however	1
favourable	1
aircraft	9
extent	1
meet	1
Islands	1
wanted	2
come	1
Malabar	1
search	2
interaction	1
last	1
Chinese	5
ministry	3
country	2
DELHI	1
explore	1
reports	1
feasible	1
counterpart	1
sensitive	1
regular	1
seaplane	1
Japan	8
Andaman	1
first	2
consultations	1
key	1
effective	1
Top	1
symbolic	1
number	2
Indias	2
arms	1
guard	1
initiative	1
underwayin	1
NEW	1
message	1
reducing	2
considers	1
Abe	1
escalation	1
stateofthe	1
officials	2
would	3
transfer	2
islands	1
revive	1
relations	2
intention	1
much	1
call	1
treat	1
Known	1
entered	1
meeting	1
wants	1
relationship	1
Tokyo	2
collapsed	1
differences	1
participating	1
negotiating	1
expected	1
understand	1
gain	1
demand	1
deepen	1
deployed	1
look	2
selfimposed	1
official	3
signed	1
believes	1
near	1
determined	1
Pricing	1
Sea	2
involved	1
Our	1
twoway	1
Narendra	1
numbers	1
Japans	2
annual	1
ventured	1
hoping	1
certain	1
takeoff	1
sale	2
Senkaku	1
TOI	1
US	1
coproduction	2
technology	6
negotiations	3
rescue	2
amphibious	1
According	1
provide	1
After	1
Maritime	1
surveillance	1
equipment	3
potential	1
They	1
significance	1
deepening	1
several	1
contend	1
added	1
huge	1
price	2
enter	1
visits	1
defence	8
fresh	2
authorities	1
Modi	2
The	3
South	1
billion	1
purchase	1
short	1
attempt	1
bilateral	1
manufacturing	1
Diaoyu	1
amid	1
later	1
Japanese	6
summit	2
amphibian	1
time	2
position	1
overturned	1
If	1
codevelopment	1
left	1
